"map_id";"opt_dsl_code";"container_file";"image_type";"image_hub";"src"
1;"modak-pytorch-1.5-cpu-pip";"modakopt/modak:pytorch-1.5-cpu-pip";"docker";"docker";"none"
2;"modak-pytorch-1.5-cpu-src";"modakopt/modak:pytorch-1.5-cpu-src";"docker";"docker";"none"
3;"modak-pytorch-1.5-gpu-pip";"modakopt/modak:pytorch-1.5-gpu-pip";"docker";"docker";"none"
4;"modak-pytorch-1.5-gpu-src";"modakopt/modak:pytorch-1.5-gpu-src";"docker";"docker";"none"
5;"modak-pytorch-latest-cpu-pip";"modakopt/modak:pytorch-latest-cpu-pip";"docker";"docker";"none"
6;"modak-pytorch-latest-cpu-src";"modakopt/modak:pytorch-latest-cpu-src";"docker";"docker";"none"
7;"modak-pytorch-latest-gpu-pip";"modakopt/modak:pytorch-latest-gpu-pip";"docker";"docker";"none"
8;"modak-tensorflow-2.1-cpu-pip";"modakopt/modak:tensorflow-2.1-cpu-pip";"docker";"docker";"none"
9;"modak-tensorflow-2.1-cpu-src";"modakopt/modak:tensorflow-2.1-cpu-src";"docker";"docker";"none"
10;"modak-tensorflow-2.1-gpu-pip";"modakopt/modak:tensorflow-2.1-gpu-pip";"docker";"docker";"none"
11;"modak-tensorflow-2.1-gpu-src";"modakopt/modak:tensorflow-2.1-gpu-src";"docker";"docker";"none"
12;"modak-tensorflow-2.4-cpu-src";"modakopt/modak:tensorflow-2.4-cpu-src";"docker";"docker";"none"
13;"modak-tensorflow-latest-cpu-pip";"modakopt/modak:tensorflow-latest-cpu-pip";"docker";"docker";"none"
14;"modak-tensorflow-latest-gpu-pip";"modakopt/modak:tensorflow-latest-gpu-pip";"docker";"docker";"none"
15;"modak-tensorflow-latest-gpu-src";"modakopt/modak:tensorflow-latest-gpu-src";"docker";"docker";"none"
16;"modak-tensorflow-ngraph-1.14";"modakopt/modak:tensorflow-ngraph-1.14";"docker";"docker";"none"
17;"modak-test-ubuntu";"modakopt/modak:test-ubuntu";"docker";"docker";"none"
18;"modak-ubuntu-18-04";"modakopt/modak:ubuntu-18-04";"docker";"docker";"none"
19;"tensorflow-latest-gpu";"tensorflow/tensorflow:latest-gpu";"docker";"docker";"none"
20;"tensorflow-latest-py3";"tensorflow/tensorflow:latest-py3";"docker";"docker";"none"
21;"tensorflow-2.1.0-gpu-py3";"tensorflow/tensorflow:2.1.0-gpu-py3";"docker";"docker";"none"
22;"tensorflow-2.1.0-py3";"tensorflow/tensorflow:2.1.0-py3";"docker";"docker";"none"
23;"pytorch-latest";"pytorch/pytorch:latest";"docker";"docker";"none"
24;"pytorch-1.5.1-cuda10.1-cudnn7-runtime";"pytorch/pytorch:1.5.1-cuda10.1-cudnn7-runtime";"docker";"docker";"none"
31;"TF_PIP_XLA";"AI/containers/tensorflow/tensorflow_pip_xla";"docker";"docker";""
