"opt_dsl_code";"app_name";"target";"optimisation";"version"
"modak-pytorch-1.5-cpu-pip";"pytorch";"enable_opt_build:true|cpu_type:none|acc_type:none|";"version:1.5|";""
"modak-pytorch-1.5-cpu-src";"pytorch";"enable_opt_build:true|cpu_type:x86|acc_type:none|";"version:1.5|";""
"modak-pytorch-1.5-gpu-pip";"pytorch";"enable_opt_build:true|cpu_type:none|acc_type:nvidia|";"version:1.5|";""
"modak-pytorch-1.5-gpu-src";"pytorch";"enable_opt_build:true|cpu_type:x86|acc_type:nvidia|";"version:1.5|";""
"modak-pytorch-latest-cpu-pip";"pytorch";"enable_opt_build:true|cpu_type:none|acc_type:none|";"version:latest|";""
"modak-pytorch-latest-cpu-src";"pytorch";"enable_opt_build:true|cpu_type:x86|acc_type:none|";"version:latest|";""
"modak-pytorch-latest-gpu-pip";"pytorch";"enable_opt_build:true|cpu_type:none|acc_type:nvidia|";"version:latest|";""
"modak-tensorflow-2.1-cpu-pip";"tensorflow";"enable_opt_build:true|cpu_type:none|acc_type:none|";"xla:true|version:2.1|";""
"modak-tensorflow-2.1-cpu-src";"tensorflow";"enable_opt_build:true|cpu_type:x86|acc_type:none|";"xla:true|version:2.1|";""
"modak-tensorflow-2.1-gpu-pip";"tensorflow";"enable_opt_build:true|cpu_type:none|acc_type:nvidia|";"xla:true|version:2.1|";""
"modak-tensorflow-2.1-gpu-src";"tensorflow";"enable_opt_build:true|cpu_type:x86|acc_type:nvidia|";"xla:true|version:2.1|";""
"modak-tensorflow-2.4-cpu-src";"tensorflow";"enable_opt_build:true|cpu_type:x86|acc_type:none|";"xla:true|version:latest|";""
"modak-tensorflow-latest-cpu-pip";"tensorflow";"enable_opt_build:true|cpu_type:none|acc_type:none|";"xla:true|version:latest|";""
"modak-tensorflow-latest-gpu-pip";"tensorflow";"enable_opt_build:true|cpu_type:none|acc_type:nvidia|";"xla:true|version:latest|";""
"modak-tensorflow-latest-gpu-src";"tensorflow";"enable_opt_build:true|cpu_type:x86|acc_type:nvidia|";"xla:true|version:latest|";""
"modak-tensorflow-ngraph-1.14";"tensorflow";"enable_opt_build:true|cpu_type:none|acc_type:none|";"ngraph:true|version:1.14|";""
"modak-test-ubuntu";"test";"enable_opt_build:true|cpu_type:none|acc_type:none|";"test:true";""
"modak-ubuntu-18-04";"ubuntu";"enable_opt_build:true|cpu_type:none|acc_type:none|";"";""
"pytorch-1.5.1-cuda10.1-cudnn7-runtime";"pytorch";"enable_opt_build:false|cpu_type:x86|acc_type:nvidia|";"version:1.5|";""
"pytorch-latest";"pytorch";"enable_opt_build:false|cpu_type:x86|acc_type:nvidia|";"version:latest|";""
"tensorflow-2.1.0-gpu-py3";"tensorflow";"enable_opt_build:false|cpu_type:x86|acc_type:none|";"xla:true|version:2.1|";""
"tensorflow-2.1.0-py3";"tensorflow";"enable_opt_build:false|cpu_type:x86|acc_type:none|";"xla:true|version:2.1|";""
"tensorflow-latest-gpu";"tensorflow";"enable_opt_build:false|cpu_type:x86|acc_type:nvidia|";"xla:true|version:latest|";""
"tensorflow-latest-py3";"tensorflow";"enable_opt_build:false|cpu_type:x86|acc_type:none|";"xla:true|version:latest|";""
"TF_PIP_XLA";"tensorflow";"cpu_type:x86,acc_type:nvidia,";"xla:true,version:1.1,";""
